episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
      0:  2000:    200.0: -4.24261: -4.02208:  -8044.2:-8064.16699:      2000
      1:  2000:    400.0:-13.66083: -4.02767:  -8055.3:-8075.34912:      4000
      2:  2000:    600.0: -9.36415: -3.68639:  -7372.8:-7392.78711:      6000
      3:  2000:    800.0: -4.26859: -3.05632:  -6112.6:-6132.64990:      8000
      4:  2000:   1000.0: -0.03534: -0.04407:    -88.1: -108.13876:     10000
      5:  2000:   1200.0: -2.62274: -0.03718:    -74.4:  -94.36768:     12000
      6:  2000:   1400.0: -1.98165: -0.04783:    -95.7: -115.65381:     14000
      7:  2000:   1600.0:  2.31800: -0.05147:   -102.9: -122.93618:     16000
      8:  2000:   1800.0: -2.95967: -0.03708:    -74.2:  -94.16747:     18000
      9:  2000:   2000.0: -2.84393: -0.03095:    -61.9:  -81.89505:     20000
     10:  2000:   2000.0: -2.14439: -0.03353:    -67.1:  -87.06636:     22000
     11:  2000:   2000.0: -2.57997: -0.05416:   -108.3: -128.32798:     24000
     12:  2000:   2000.0:  1.08011: -0.02998:    -60.0:  -79.95676:     26000
