episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
      0:   104:     10.4:-10.00000:  0.45957:     47.8: -56.20512:       104
      1:    47:     15.1:-10.00000:  0.47331:     22.2: -24.75452:       151
      2:    60:     21.1:-10.00000:  0.50064:     30.0: -29.96168:       211
      3:    16:     22.7:-10.00000:  0.14635:      2.3: -13.65838:       227
      4:    18:     24.5:-10.00000:  0.20104:      3.6: -14.38131:       245
      5:    69:     31.4:-10.00000:  0.55003:     38.0: -31.04812:       314
      6:    39:     35.3:-10.00000:  0.34715:     13.5: -25.46113:       353
      7:    57:     41.0:-10.00000:  0.45133:     25.7: -31.27432:       410
      8:    20:     43.0:-10.00000:  0.31155:      6.2: -13.76900:       430
      9:    28:     45.8:-10.00000:  0.39119:     11.0: -17.04661:       458
     10:    60:     41.4:-10.00000:  0.38360:     23.0: -36.98380:       518
     11:    28:     39.5:-10.00000:  0.40132:     11.2: -16.76301:       546
     12:    17:     35.2:-10.00000:  0.19544:      3.3: -13.67751:       563
     13:    35:     37.1:-10.00000:  0.38784:     13.6: -21.42566:       598
     14:    20:     37.3:-10.00000:  0.22415:      4.5: -15.51696:       618
     15:    35:     33.9:-10.00000:  0.41718:     14.6: -20.39878:       653
     16:    61:     36.1:-10.00000:  0.51262:     31.3: -29.72994:       714
     17:    19:     32.3:-10.00000:  0.20944:      4.0: -15.02067:       733
     18:    37:     34.0:-10.00000:  0.37528:     13.9: -23.11448:       770
     19:    37:     34.9:-10.00000:  0.29485:     10.9: -26.09060:       807
     20:    28:     31.7:-10.00000:  0.40678:     11.4: -16.61003:       835
     21:    39:     32.8:-10.00000:  0.46567:     18.2: -20.83894:       874
     22:    25:     33.6:-10.00000:  0.30672:      7.7: -17.33193:       899
     23:    25:     32.6:-10.00000:  0.30214:      7.6: -17.44639:       924
     24:    76:     38.2:-10.00000:  0.58417:     44.4: -31.60278:      1000
     25:    34:     38.1:-10.00000:  0.44560:     15.2: -18.84972:      1034
     26:    76:     39.6:-10.00000:  0.51651:     39.3: -36.74498:      1110
     27:    56:     43.3:-10.00000:  0.41946:     23.5: -32.51025:      1166
     28:    23:     41.9:-10.00000:  0.35140:      8.1: -14.91772:      1189
     29:    32:     41.4:-10.00000:  0.33038:     10.6: -21.42776:      1221
     30:    34:     42.0:-10.00000:  0.28640:      9.7: -24.26242:      1255
     31:    86:     46.7:-10.00000:  0.48882:     42.0: -43.96113:      1341
     32:    58:     50.0:-10.00000:  0.51445:     29.8: -28.16184:      1399
     33:    23:     49.8:-10.00000:  0.35305:      8.1: -14.87990:      1422
     34:    15:     43.7:-10.00000:  0.11774:      1.8: -13.23390:      1437
     35:    16:     41.9:-10.00000:  0.12516:      2.0: -13.99739:      1453
     36:    33:     37.6:-10.00000:  0.46621:     15.4: -17.61519:      1486
     37:    29:     34.9:-10.00000:  0.34621:     10.0: -18.95999:      1515
     38:    19:     34.5:-10.00000:  0.12279:      2.3: -16.66694:      1534
     39:    15:     32.8:-10.00000:  0.11915:      1.8: -13.21268:      1549
     40:    21:     31.5:-10.00000:  0.31803:      6.7: -14.32136:      1570
     41:    14:     24.3:-10.00000:  0.08261:      1.2: -12.84348:      1584
     42:    65:     25.0:-10.00000:  0.54617:     35.5: -29.49909:      1649
     43:    21:     24.8:-10.00000:  0.26690:      5.6: -15.39516:      1670
     44:    45:     27.8:-10.00000:  0.37759:     17.0: -28.00863:      1715
     45:    66:     32.8:-10.00000:  0.45595:     30.1: -35.90724:      1781
     46:    62:     35.7:-10.00000:  0.55059:     34.1: -27.86370:      1843
     47:    20:     34.8:-10.00000:  0.20403:      4.1: -15.91947:      1863
     48:    42:     37.1:-10.00000:  0.45642:     19.2: -22.83053:      1905
     49:    17:     37.3:-10.00000:  0.17550:      3.0: -14.01656:      1922
     50:    23:     37.5:-10.00000:  0.38584:      8.9: -14.12559:      1945
     51:    25:     38.6:-10.00000:  0.28821:      7.2: -17.79480:      1970
     52:    27:     34.8:-10.00000:  0.43115:     11.6: -15.35896:      1997
     53:    41:     36.8:-10.00000:  0.40433:     16.6: -24.42230:      2038
     54:    27:     35.0:-10.00000:  0.27499:      7.4: -19.57531:      2065
     55:    15:     29.9:-10.00000:  0.12140:      1.8: -13.17896:      2080
     56:    22:     25.9:-10.00000:  0.37646:      8.3: -13.71791:      2102
     57:    17:     25.6:-10.00000:  0.18898:      3.2: -13.78736:      2119
     58:    34:     24.8:-10.00000:  0.44706:     15.2: -18.79995:      2153
     59:    18:     24.9:-10.00000:  0.19998:      3.6: -14.40037:      2171
     60:    35:     26.1:-10.00000:  0.48574:     17.0: -17.99917:      2206
     61:    62:     29.8:-10.00000:  0.45104:     28.0: -34.03569:      2268
     62:    44:     31.5:-10.00000:  0.44397:     19.5: -24.46516:      2312
     63:    65:     33.9:-10.00000:  0.35193:     22.9: -42.12449:      2377
     64:    41:     35.3:-10.00000:  0.53348:     21.9: -19.12743:      2418
     65:    16:     35.4:-10.00000:  0.15383:      2.5: -13.53866:      2434
     66:    25:     35.7:-10.00000:  0.34667:      8.7: -16.33315:      2459
     67:    35:     37.5:-10.00000:  0.42219:     14.8: -20.22324:      2494
     68:    53:     39.4:-10.00000:  0.39097:     20.7: -32.27885:      2547
     69:    28:     40.4:-10.00000:  0.36621:     10.3: -17.74600:      2575
     70:    33:     40.2:-10.00000:  0.45142:     14.9: -18.10316:      2608
     71:    41:     38.1:-10.00000:  0.26875:     11.0: -29.98107:      2649
     72:    29:     36.6:-10.00000:  0.39926:     11.6: -17.42146:      2678
     73:    64:     36.5:-10.00000:  0.40068:     25.6: -38.35649:      2742
     74:    43:     36.7:-10.00000:  0.43724:     18.8: -24.19882:      2785
     75:    64:     41.5:-10.00000:  0.49557:     31.7: -32.28331:      2849
     76:    32:     42.2:-10.00000:  0.39119:     12.5: -19.48201:      2881
     77:    60:     44.7:-10.00000:  0.46395:     27.8: -32.16324:      2941
     78:    33:     42.7:-10.00000:  0.43158:     14.2: -18.75778:      2974
     79:    33:     43.2:-10.00000:  0.37543:     12.4: -20.61075:      3007
     80:    54:     45.3:-10.00000:  0.41994:     22.7: -31.32326:      3061
     81:    41:     45.3:-10.00000:  0.45441:     18.6: -22.36923:      3102
     82:    21:     44.5:-10.00000:  0.31360:      6.6: -14.41445:      3123
     83:    17:     39.8:-10.00000:  0.20549:      3.5: -13.50670:      3140
     84:    61:     41.6:-10.00000:  0.48594:     29.6: -31.35754:      3201
     85:    31:     38.3:-10.00000:  0.30245:      9.4: -21.62395:      3232
     86:    21:     37.2:-10.00000:  0.30917:      6.5: -14.50749:      3253
     87:    17:     32.9:-10.00000:  0.18696:      3.2: -13.82164:      3270
     88:    41:     33.7:-10.00000:  0.40405:     16.6: -24.43375:      3311
     89:    48:     35.2:-10.00000:  0.39139:     18.8: -29.21332:      3359
     90:    25:     32.3:-10.00000:  0.26764:      6.7: -18.30907:      3384
     91:    24:     30.6:-10.00000:  0.38105:      9.1: -14.85488:      3408
     92:    31:     31.6:-10.00000:  0.33056:     10.2: -20.75274:      3439
     93:    25:     32.4:-10.00000:  0.40636:     10.2: -14.84102:      3464
     94:    57:     32.0:-10.00000:  0.44611:     25.4: -31.57196:      3521
     95:    23:     31.2:-10.00000:  0.30632:      7.0: -15.95466:      3544
     96:    66:     35.7:-10.00000:  0.43504:     28.7: -37.28708:      3610
     97:    20:     36.0:-10.00000:  0.27908:      5.6: -14.41844:      3630
     98:    37:     35.6:-10.00000:  0.48596:     18.0: -19.01947:      3667
     99:    66:     37.4:-10.00000:  0.57026:     37.6: -28.36283:      3733
    100:    73:     42.2:-10.00000:  0.46591:     34.0: -38.98843:      3806
    101:    33:     43.1:-10.00000:  0.38483:     12.7: -20.30048:      3839
    102:    54:     45.4:-10.00000:  0.51013:     27.5: -26.45323:      3893
    103:    29:     45.8:-10.00000:  0.45308:     13.1: -15.86079:      3922
    104:    24:     42.5:-10.00000:  0.34237:      8.2: -15.78321:      3946
    105:    19:     42.1:-10.00000:  0.26502:      5.0: -13.96467:      3965
    106:    53:     40.8:-10.00000:  0.35146:     18.6: -34.37272:      4018
    107:    45:     43.3:-10.00000:  0.50598:     22.8: -22.23111:      4063
    108:    68:     46.4:-10.00000:  0.38050:     25.9: -42.12610:      4131
    109:    45:     44.3:-10.00000:  0.37881:     17.0: -27.95340:      4176
    110:    27:     39.7:-10.00000:  0.39957:     10.8: -16.21149:      4203
    111:    36:     40.0:-10.00000:  0.34392:     12.4: -23.61903:      4239
