episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
     80:   122:    120.0: -0.10000: -0.01572:     -1.9: -14.11737:     10095
     81:    64:    113.3: -0.10000: -0.01045:     -0.7:  -7.06896:     10159
     82:    75:    108.4: -0.10000:  0.02334:      1.8:  -5.74919:     10234
     83:    77:    102.5: -0.10000:  0.01864:      1.4:  -6.26493:     10311
     84:    81:     92.6: -0.10000:  0.00092:      0.1:  -8.02541:     10392
     85:   101:     89.8: -0.10000: -0.01556:     -1.6: -11.67111:     10493
     86:    64:     87.1: -0.10000: -0.01107:     -0.7:  -7.10821:     10557
     87:   113:     90.9: -0.10000: -0.03844:     -4.3: -15.64352:     10670
     88:   128:     91.6: -0.10000: -0.00902:     -1.2: -13.95400:     10798
     89:   217:    104.2: -0.10000:  0.05112:     11.1: -10.60706:     11015
     90:    89:    100.9: -0.10000:  0.00310:      0.3:  -8.62386:     11104
     91:   138:    108.3: -0.10000: -0.00166:     -0.2: -14.02921:     11242
     92:    75:    108.3: -0.10000:  0.00808:      0.6:  -6.89366:     11317
     93:   100:    110.6: -0.10000:  0.00705:      0.7:  -9.29464:     11417
     94:   138:    116.3: -0.10000: -0.00526:     -0.7: -14.52540:     11555
     95:   169:    123.1: -0.10000:  0.02575:      4.4: -12.54881:     11724
     96:   221:    138.8: -0.10000:  0.02064:      4.6: -17.53792:     11945
     97:   127:    140.2: -0.10000:  0.03365:      4.3:  -8.42679:     12072
     98:    69:    134.3: -0.10000: -0.02944:     -2.0:  -8.93147:     12141
     99:   193:    131.9: -0.10000:  0.02589:      5.0: -14.30262:     12334
    100:    99:    132.9: -0.10000:  0.00375:      0.4:  -9.52909:     12433
    101:    72:    126.3: -0.10000:  0.00444:      0.3:  -6.88009:     12505
    102:    63:    125.1: -0.10000: -0.01247:     -0.8:  -7.08548:     12568
    103:   136:    128.7: -0.10000: -0.00230:     -0.3: -13.91337:     12704
    104:   240:    138.9: -0.10000:  0.02749:      6.6: -17.40149:     12944
    105:   112:    133.2: -0.10000:  0.02453:      2.7:  -8.45311:     13056
    106:    77:    118.8: -0.10000: -0.00589:     -0.5:  -8.15315:     13133
    107:   171:    123.2: -0.10000:  0.03323:      5.7: -11.41718:     13304
    108:    86:    124.9: -0.10000:  0.03436:      3.0:  -5.64532:     13390
    109:    91:    114.7: -0.10000:  0.01422:      1.3:  -7.80591:     13481
    110:   141:    118.9: -0.10000:  0.01592:      2.2: -11.85547:     13622
    111:    87:    120.4: -0.10000:  0.00797:      0.7:  -8.00623:     13709
    112:    88:    122.9: -0.10000:  0.00592:      0.5:  -8.27893:     13797
    113:   107:    120.0: -0.10000:  0.00349:      0.4: -10.32644:     13904
    114:    87:    104.7: -0.10000:  0.02348:      2.0:  -6.65709:     13991
    115:    72:    100.7: -0.10000:  0.00959:      0.7:  -6.50971:     14063
    116:   116:    104.6: -0.10000: -0.01506:     -1.7: -13.34724:     14179
    117:    75:     95.0: -0.10000:  0.02417:      1.8:  -5.68695:     14254
    118:   171:    103.5: -0.10000:  0.00236:      0.4: -16.69717:     14425
    119:   101:    104.5: -0.10000: -0.00531:     -0.5: -10.63628:     14526
    120:    65:     96.9: -0.10000:  0.00385:      0.3:  -6.24955:     14591
    121:   144:    102.6: -0.10000:  0.03064:      4.4:  -9.98774:     14735
    122:   120:    105.8: -0.10000:  0.01730:      2.1:  -9.92436:     14855
    123:    72:    102.3: -0.10000: -0.00893:     -0.6:  -7.84305:     14927
    124:   103:    103.9: -0.10000:  0.00127:      0.1: -10.16965:     15030
    125:    78:    104.5: -0.10000:  0.01122:      0.9:  -6.92506:     15108
    126:   137:    106.6: -0.10000:  0.01366:      1.9: -11.82829:     15245
    127:    88:    107.9: -0.10000:  0.00146:      0.1:  -8.67129:     15333
    128:    79:     98.7: -0.10000:  0.02214:      1.7:  -6.15128:     15412
    129:   180:    106.6: -0.10000:  0.00461:      0.8: -17.17056:     15592
    130:    98:    109.9: -0.10000:  0.02752:      2.7:  -7.10318:     15690
    131:    84:    103.9: -0.10000:  0.02134:      1.8:  -6.60738:     15774
    132:   114:    103.3: -0.10000: -0.00780:     -0.9: -12.28925:     15888
    133:    67:    102.8: -0.10000: -0.02424:     -1.6:  -8.32406:     15955
    134:   109:    103.4: -0.10000: -0.01104:     -1.2: -12.10289:     16064
    135:   121:    107.7: -0.10000:  0.01175:      1.4: -10.67857:     16185
    136:    92:    103.2: -0.10000:  0.02178:      2.0:  -7.19606:     16277
    137:    79:    102.3: -0.10000: -0.00662:     -0.5:  -8.42324:     16356
    138:    67:    101.1: -0.10000: -0.01656:     -1.1:  -7.80932:     16423
    139:    68:     89.9: -0.10000:  0.01567:      1.1:  -5.73432:     16491
    140:   118:     91.9: -0.10000: -0.00404:     -0.5: -12.27636:     16609
    141:    57:     89.2: -0.10000:  0.00975:      0.6:  -5.14422:     16666
    142:   230:    100.8: -0.10000:  0.03440:      7.9: -15.08688:     16896
    143:    83:    102.4: -0.10000:  0.00577:      0.5:  -7.82127:     16979
    144:    94:    100.9: -0.10000:  0.02264:      2.1:  -7.27184:     17073
    145:   131:    101.9: -0.10000:  0.01642:      2.2: -10.94908:     17204
    146:    86:    101.3: -0.10000: -0.02014:     -1.7: -10.33182:     17290
    147:   139:    107.3: -0.10000:  0.01650:      2.3: -11.60626:     17429
    148:   102:    110.8: -0.10000: -0.00330:     -0.3: -10.53687:     17531
